customerid,firstname,lastname,gender,claimdate,settlementdate
1,John,Doe,Male,2020-05-10,2020-06-15
2,Jane,Smith,Female,2021-08-20,2021-09-25
3,Alice,Johnson,Female,2020-12-05,2021-01-10
4,Bob,Williams,Male,2021-02-15,2021-03-20
5,Carol,Brown,Female,2022-01-05,2022-02-15
7,Eve,Miller,Female,2020-09-18,2020-10-25
8,Frank,Davis,Male,2021-12-20,2022-01-15
9,Grace,Garcia,Female,2019-07-30,2019-08-20
10,Henry,Martinez,Male,2022-04-10,2022-05-05
11,Ivy,Hernandez,Female,2020-06-12,2020-07-20
12,Jack,Lopez,Male,2021-09-25,2021-10-30
13,Karen,Wilson,Female,2020-11-18,2020-12-24
14,Larry,Clark,Male,2021-01-15,2021-02-20
15,Monica,Rodriguez,Female,2022-03-10,2022-04-15
17,Olivia,Walker,Female,2020-10-05,2020-11-15
18,Paul,Hall,Male,2021-05-18,2021-06-25
19,Quinn,Allen,Female,2019-09-20,2019-10-30
20,Rachel,Young,Female,2022-02-12,2022-03-15
21,Steve,King,Male,2020-08-15,2020-09-20
23,Ursula,Green,Female,2020-04-05,2020-05-15
24,Victor,Adams,Male,2021-07-30,2021-08-25
25,Wendy,Baker,Female,2022-01-01,2022-01-30
26,Xander,Hill,Male,2020-03-25,2020-04-20
27,Yvonne,Collins,Female,2021-08-18,2021-09-22
28,Zach,Mitchell,Male,2020-06-14,2020-07-20
29,Anna,Carter,Female,2021-02-28,2021-03-25
30,Brian,Parker,Male,2022-03-18,2022-04-20
31,Clara,Edwards,Female,2020-11-11,2020-12-15
32,Derek,Turner,Male,2021-04-25,2021-05-30
33,Ella,Phillips,Female,2022-05-10,2022-06-10
34,Fred,Campbell,Male,2021-09-15,2021-10-15
35,Gloria,Parker,Female,2020-07-30,2020-08-20
36,Hank,Morris,Male,2021-10-20,2021-11-15
37,Isla,Murphy,Female,2020-01-12,2020-02-10
38,Jake,Peterson,Male,2021-12-05,2022-01-01
40,Leo,Bailey,Male,2021-06-15,2021-07-10
41,Mia,Reed,Female,2020-08-25,2020-09-20
42,Nate,Ward,Male,2021-03-01,2021-04-01
43,Olga,Brooks,Female,2022-04-18,2022-05-18
44,Pete,Long,Male,2020-10-01,2020-11-05
46,Rick,Gray,Male,2022-02-28,2022-03-30
47,Sophia,Ramos,Female,2021-11-15,2021-12-15
48,Tom,Hughes,Male,2020-12-01,2021-01-01
7,Eve,Miller,Female,2022-05-22,2022-06-30
15,Monica,Rodriguez,Female,2022-07-25,2022-08-30
20,Rachel,Young,Female,2021-06-10,2021-07-15
10,Henry,Martinez,Male,2020-09-18,2020-10-18
37,Isla,Murphy,Female,2021-05-20,2021-06-20
16,Nick,Lewis,Male,,
39,Kate,Cooper,Female,,
22,Tina,Scott,Female,,
6,David,Jones,Male,,
45,Queenie,Rivera,Female,,
